SKU,ds,P10,P30,P50,P70,P90
ACC_CABLE_001,2026-08-29,398,436,462,488,526
ACC_CABLE_001,2026-08-30,372,425,462,499,552
ACC_CABLE_001,2026-08-31,166,232,277,321,387
ACC_CABLE_001,2026-09-01,156,231,283,335,411
ACC_CABLE_001,2026-09-02,138,223,281,338,423
ACC_CABLE_001,2026-09-03,122,215,278,342,434
ACC_CABLE_001,2026-09-04,110,210,278,347,447
ACC_CABLE_001,2026-09-05,282,389,462,535,642
ACC_CABLE_001,2026-09-06,271,384,462,540,653
ACC_CABLE_001,2026-09-07,81,200,282,364,484
ACC_CABLE_001,2026-09-08,70,195,281,367,492
ACC_CABLE_001,2026-09-09,58,189,279,368,499
ACC_CABLE_001,2026-09-10,45,182,275,368,505
ACC_CABLE_001,2026-09-11,44,185,282,379,520
ACC_CABLE_002,2026-08-29,368,403,427,452,487
ACC_CABLE_002,2026-08-30,343,393,427,462,511
ACC_CABLE_002,2026-08-31,160,221,263,305,366
ACC_CABLE_002,2026-09-01,145,216,264,313,383
ACC_CABLE_002,2026-09-02,129,208,262,316,395
ACC_CABLE_002,2026-09-03,115,202,261,320,407
ACC_CABLE_002,2026-09-04,102,196,259,323,417
ACC_CABLE_002,2026-09-05,259,359,427,496,595
ACC_CABLE_002,2026-09-06,249,355,427,500,606
ACC_CABLE_002,2026-09-07,76,188,264,341,452
ACC_CABLE_002,2026-09-08,64,181,261,341,458
ACC_CABLE_002,2026-09-09,58,180,264,348,470
ACC_CABLE_002,2026-09-10,48,175,262,349,476
ACC_CABLE_002,2026-09-11,40,172,262,353,485
ACC_CABLE_003,2026-08-29,722,789,835,881,948
ACC_CABLE_003,2026-08-30,676,770,835,900,995
ACC_CABLE_003,2026-08-31,280,396,476,555,671
ACC_CABLE_003,2026-09-01,273,406,498,590,724
ACC_CABLE_003,2026-09-02,236,386,488,591,741
ACC_CABLE_003,2026-09-03,210,374,486,599,763
ACC_CABLE_003,2026-09-04,194,371,492,614,791
ACC_CABLE_003,2026-09-05,516,706,835,965,1154
ACC_CABLE_003,2026-09-06,497,698,835,973,1173
ACC_CABLE_003,2026-09-07,134,345,490,635,847
ACC_CABLE_003,2026-09-08,121,343,495,647,869
ACC_CABLE_003,2026-09-09,96,328,487,646,878
ACC_CABLE_003,2026-09-10,76,318,483,648,890
ACC_CABLE_003,2026-09-11,65,315,487,658,909
ACC_CABLE_004,2026-08-29,345,377,399,421,453
ACC_CABLE_004,2026-08-30,323,368,399,430,475
ACC_CABLE_004,2026-08-31,133,188,226,264,319
ACC_CABLE_004,2026-09-01,127,191,235,278,342
ACC_CABLE_004,2026-09-02,111,183,231,280,352
ACC_CABLE_004,2026-09-03,98,176,230,283,362
ACC_CABLE_004,2026-09-04,93,177,235,293,377
ACC_CABLE_004,2026-09-05,247,337,399,461,551
ACC_CABLE_004,2026-09-06,238,333,399,464,560
ACC_CABLE_004,2026-09-07,67,168,237,306,407
ACC_CABLE_004,2026-09-08,58,164,236,309,414
ACC_CABLE_004,2026-09-09,46,157,232,308,419
ACC_CABLE_004,2026-09-10,38,153,232,311,426
ACC_CABLE_004,2026-09-11,28,147,229,311,430
ACC_CABLE_005,2026-08-29,666,729,772,814,877
ACC_CABLE_005,2026-08-30,622,711,772,832,921
ACC_CABLE_005,2026-08-31,278,387,461,536,644
ACC_CABLE_005,2026-09-01,245,370,456,542,667
ACC_CABLE_005,2026-09-02,221,361,457,553,693
ACC_CABLE_005,2026-09-03,197,350,456,561,714
ACC_CABLE_005,2026-09-04,202,368,482,595,761
ACC_CABLE_005,2026-09-05,473,650,772,893,1070
ACC_CABLE_005,2026-09-06,455,643,772,900,1088
ACC_CABLE_005,2026-09-07,140,338,474,610,808
ACC_CABLE_005,2026-09-08,110,318,460,602,810
ACC_CABLE_005,2026-09-09,93,310,459,608,825
ACC_CABLE_005,2026-09-10,72,298,453,607,833
ACC_CABLE_005,2026-09-11,61,296,457,617,852
ACC_CABLE_006,2026-08-29,579,634,672,710,765
ACC_CABLE_006,2026-08-30,541,619,672,725,803
ACC_CABLE_006,2026-08-31,242,337,403,468,563
ACC_CABLE_006,2026-09-01,224,334,410,485,595
ACC_CABLE_006,2026-09-02,197,320,405,489,612
ACC_CABLE_006,2026-09-03,174,309,401,493,628
ACC_CABLE_006,2026-09-04,157,303,402,502,647
ACC_CABLE_006,2026-09-05,410,566,672,778,934
ACC_CABLE_006,2026-09-06,394,559,672,785,950
ACC_CABLE_006,2026-09-07,115,289,408,527,701
ACC_CABLE_006,2026-09-08,100,282,407,532,714
ACC_CABLE_006,2026-09-09,86,277,407,538,728
ACC_CABLE_006,2026-09-10,77,275,411,546,745
ACC_CABLE_006,2026-09-11,66,271,412,553,759
ACC_CABLE_007,2026-08-29,383,420,444,469,506
ACC_CABLE_007,2026-08-30,358,409,444,480,531
ACC_CABLE_007,2026-08-31,165,228,271,314,377
ACC_CABLE_007,2026-09-01,143,216,265,315,387
ACC_CABLE_007,2026-09-02,125,206,262,317,398
ACC_CABLE_007,2026-09-03,114,202,263,324,413
ACC_CABLE_007,2026-09-04,102,198,263,329,425
ACC_CABLE_007,2026-09-05,272,374,444,515,617
ACC_CABLE_007,2026-09-06,261,370,444,519,628
ACC_CABLE_007,2026-09-07,88,202,281,359,474
ACC_CABLE_007,2026-09-08,61,181,264,346,466
ACC_CABLE_007,2026-09-09,61,187,273,358,484
ACC_CABLE_007,2026-09-10,45,176,265,355,485
ACC_CABLE_007,2026-09-11,39,175,268,360,496
ACC_CABLE_008,2026-08-29,294,322,341,360,387
ACC_CABLE_008,2026-08-30,275,314,341,368,407
ACC_CABLE_008,2026-08-31,124,172,204,237,285
ACC_CABLE_008,2026-09-01,106,161,198,236,291
ACC_CABLE_008,2026-09-02,96,158,200,242,303
ACC_CABLE_008,2026-09-03,87,155,201,247,314
ACC_CABLE_008,2026-09-04,77,150,200,249,322
ACC_CABLE_008,2026-09-05,210,288,341,394,472
ACC_CABLE_008,2026-09-06,202,284,341,397,480
ACC_CABLE_008,2026-09-07,61,148,208,268,355
ACC_CABLE_008,2026-09-08,48,140,202,265,356
ACC_CABLE_008,2026-09-09,40,136,201,266,362
ACC_CABLE_008,2026-09-10,34,134,202,270,369
ACC_CABLE_008,2026-09-11,31,134,204,275,378
ACC_CABLE_009,2026-08-29,600,656,695,734,790
ACC_CABLE_009,2026-08-30,561,640,695,750,830
ACC_CABLE_009,2026-08-31,242,340,407,474,572
ACC_CABLE_009,2026-09-01,230,343,420,498,611
ACC_CABLE_009,2026-09-02,205,331,418,504,631
ACC_CABLE_009,2026-09-03,178,316,411,506,644
ACC_CABLE_009,2026-09-04,173,322,425,527,677
ACC_CABLE_009,2026-09-05,426,586,695,805,964
ACC_CABLE_009,2026-09-06,410,579,695,811,981
ACC_CABLE_009,2026-09-07,124,303,425,547,726
ACC_CABLE_009,2026-09-08,110,297,425,554,741
ACC_CABLE_009,2026-09-09,84,280,414,548,744
ACC_CABLE_009,2026-09-10,65,269,408,548,751
ACC_CABLE_009,2026-09-11,51,262,407,552,763
ACC_CABLE_010,2026-08-29,500,547,579,612,659
ACC_CABLE_010,2026-08-30,467,534,579,625,692
ACC_CABLE_010,2026-08-31,207,289,345,400,482
ACC_CABLE_010,2026-09-01,189,283,347,412,506
ACC_CABLE_010,2026-09-02,169,275,347,419,524
ACC_CABLE_010,2026-09-03,143,258,337,416,532
